Service listen begin to listen on 50004
 算法服务已启动...
press any key to teriminate...
predicted X: 0.12 Y: 0 Z: 0
predicted X: 0.95 Y: 0.85 Z: 0.72
predicted X: 0.13 Y: 0.09 Z: 0.02
predicted X: 0.25 Y: 0.52 Z: 0.1
predicted X: 0.29 Y: 0.69 Z: 0.21
predicted X: 0.36 Y: 1 Z: 0.6
predicted X: 0.46 Y: 1 Z: 1
predicted X: 0.52 Y: 1 Z: 1
predicted X: 0.56 Y: 1 Z: 1
predicted X: 0.59 Y: 1 Z: 1
predicted X: 0.7 Y: 0.23 Z: 0.23
predicted X: 0.72 Y: 0.26 Z: 0.26
predicted X: 0.55 Y: 1 Z: 1
predicted X: 0.72 Y: 0.36 Z: 0.07
predicted X: 0.71 Y: 0.31 Z: 0.16
predicted X: 0.56 Y: 1 Z: 1
predicted X: 0.71 Y: 0.08 Z: 0.35
predicted X: 0.56 Y: 1 Z: 1
predicted X: 0.57 Y: 1 Z: 1
predicted X: 0.71 Y: 0.32 Z: 0.13
predicted X: 0.56 Y: 1 Z: 1
predicted X: 0.71 Y: 0.36 Z: 0.01
predicted X: 0.56 Y: 0.98 Z: 0.98
predicted X: 0.72 Y: 0.05 Z: 0.36
predicted X: 0.56 Y: 1 Z: 0.91
predicted X: 0.72 Y: 0.36 Z: 0.06
predicted X: 0.56 Y: 1 Z: 0.96
predicted X: 0.72 Y: 0.36 Z: 0.06
predicted X: 0.71 Y: 0.33 Z: 0.14
predicted X: 0.56 Y: 1 Z: 1
predicted X: 0.71 Y: 0.29 Z: 0.22
predicted X: 0.71 Y: 0.32 Z: 0.15
predicted X: 0.71 Y: 0.28 Z: 0.2
predicted X: 0.71 Y: 0.28 Z: 0.18
predicted X: 0.71 Y: 0.24 Z: 0.25
predicted X: 0.71 Y: 0.26 Z: 0.21
predicted X: 0.71 Y: 0.32 Z: 0.11
predicted X: 0.56 Y: 0.99 Z: 1
predicted X: 0.96 Y: 1 Z: 1
predicted X: 0.71 Y: 0.24 Z: 0.24
predicted X: 0.96 Y: 1 Z: 1
predicted X: 0.71 Y: 0.35 Z: 0.08
predicted X: 0.59 Y: 1 Z: 1
predicted X: 0.71 Y: 0.1 Z: 0.35
predicted X: 0.59 Y: 1 Z: 1
predicted X: 0.72 Y: 0.08 Z: 0.35
predicted X: 0.71 Y: 0.33 Z: 0.14
predicted X: 0.71 Y: 0.34 Z: 0.09
predicted X: 0.71 Y: 0.32 Z: 0.13
predicted X: 0.71 Y: 0.27 Z: 0.23
predicted X: 0.7 Y: 0 Z: 0
predicted X: 1 Y: 0.6 Z: 0.4
predicted X: 0.2 Y: 0.1 Z: 0
predicted X: 0.3 Y: 0.2 Z: 0.1
predicted X: 0.5 Y: 0.6 Z: 0.2
predicted X: 0.4 Y: 0.4 Z: 0
predicted X: 0.5 Y: 0.6 Z: 0.3
predicted X: 0.5 Y: 0.6 Z: 0.3
predicted X: 0.5 Y: 0.6 Z: 0.3
predicted X: 0.5 Y: 0.6 Z: 0.3
predicted X: 0.5 Y: 0.6 Z: 0.3
predicted X: 0.5 Y: 0.5 Z: 0.5
predicted X: 0.5 Y: 0.7 Z: 0
predicted X: 0.5 Y: 0.5 Z: 0.5
predicted X: 0.5 Y: 0.5 Z: 0.5
predicted X: 0.5 Y: 0.5 Z: 0.5
predicted X: 0.5 Y: 0.6 Z: 0.4
predicted X: 0.5 Y: 0.5 Z: 0.5
predicted X: 0.5 Y: 0.5 Z: 0.5
predicted X: 0.5 Y: 0.5 Z: 0.5
predicted X: 0.5 Y: 0.5 Z: 0.5
predicted X: 0.5 Y: 0.5 Z: 0.5
predicted X: 0.5 Y: 0.5 Z: 0.5
predicted X: 0.5 Y: 0.5 Z: 0.5
predicted X: 0.5 Y: 0.5 Z: 0.5
predicted X: 0.5 Y: 0.1 Z: 0.7
predicted X: 0.5 Y: 0.5 Z: 0.5
predicted X: 0.5 Y: 0.5 Z: 0.5
predicted X: 0.5 Y: 0.7 Z: 0.1
predicted X: 0.5 Y: 0.5 Z: 0.5
predicted X: 0.5 Y: 0.5 Z: 0.5
predicted X: 0.5 Y: 0.5 Z: 0.5
predicted X: 0.5 Y: 0.1 Z: 0.7
predicted X: 0.5 Y: 0.7 Z: 0.1
predicted X: 0.5 Y: 0.5 Z: 0.5
predicted X: 0.5 Y: 0.5 Z: 0.5
predicted X: 0.5 Y: 0.6 Z: 0.4
