EPC,Antenna,Channel,RSSI,TimeStamp,Phase,Doppler Shift,Velocity
E2003065410401890950BA22,1,1,-3600,1479103219758173,3268,-26,0
E2003065410401890730CE0D,1,1,-3300,1479103219761351,3920,104,0
E2003065410401890880BFA7,1,1,-3300,1479103219763064,3532,0,0
E2003065410401890810C647,1,1,-3100,1479103219764558,3776,52,0
E2003065410401890960B776,1,1,-4250,1479103219766423,208,377,0
E2003065410401890730CE0D,1,1,-3300,1479103219790897,3916,104,0
E2003065410401890950BA22,1,1,-3650,1479103219791964,3268,78,0
E2003065410401890810C647,1,1,-3050,1479103219794096,3776,78,0
E2003065410401890960B776,1,1,-4200,1479103219795188,220,247,0
E2003065410401890880BFA7,1,1,-3300,1479103219796773,3536,26,0
E2003065410401890730CE0D,1,1,-3300,1479103219830851,3920,104,0
E2003065410401890960B776,1,1,-4200,1479103219832685,216,338,0
E2003065410401890880BFA7,1,1,-3300,1479103219833986,3532,26,0
E2003065410401890950BA22,1,1,-3600,1479103219837560,3256,26,0
E2003065410401890810C647,1,1,-3050,1479103219838658,3760,221,0
E2003065410401890810C647,1,1,-3100,1479103219864432,3772,104,0
E2003065410401890950BA22,1,1,-3650,1479103219866652,3256,26,0
E2003065410401890960B776,1,1,-4250,1479103219869157,212,364,0
E2003065410401890880BFA7,1,1,-3450,1479103219886103,3552,-2,0
E2003065410401890730CE0D,1,1,-3500,1479103219896133,3916,6,0
E2003065410401890960B776,1,1,-4200,1479103219923607,208,390,0
E2003065410401890810C647,1,1,-3050,1479103219924883,3784,52,0
E2003065410401890880BFA7,1,1,-3300,1479103219926198,3532,26,0
E2003065410401890730CE0D,1,1,-3300,1479103219928278,3920,78,0
E2003065410401890950BA22,1,1,-3650,1479103219929785,3256,26,0
E2003065410401890810C647,1,1,-3050,1479103219953621,3768,130,0
E2003065410401890960B776,1,1,-4250,1479103219955570,216,273,0
E2003065410401890880BFA7,1,1,-3300,1479103219956672,3528,78,0
E2003065410401890730CE0D,1,1,-3300,1479103219958493,3916,182,0
E2003065410401890950BA22,1,1,-3650,1479103219961399,3256,117,0
E2003065410401890730CE0D,1,1,-3300,1479103219995640,3920,78,0
E2003065410401890960B776,1,1,-4200,1479103219996961,204,364,0
E2003065410401890880BFA7,1,1,-3300,1479103219998532,3528,117,0
E2003065410401890810C647,1,1,-3100,1479103220000636,3772,156,0
E2003065410401890950BA22,1,1,-3650,1479103220002775,3256,52,0
E2003065410401890810C647,1,1,-3050,1479103220029049,3772,130,0
E2003065410401890880BFA7,1,1,-3300,1479103220030994,3524,117,0
E2003065410401890730CE0D,1,1,-3300,1479103220032317,3924,26,0
E2003065410401890950BA22,1,1,-3600,1479103220033414,3256,104,0
E2003065410401890960B776,1,1,-4250,1479103220034977,220,299,0
E2003065410401890950BA22,1,1,-3650,1479103220069520,3260,52,0
E2003065410401890810C647,1,1,-3050,1479103220070771,3780,78,0
E2003065410401890960B776,1,1,-4200,1479103220072092,208,338,0
E2003065410401890730CE0D,1,1,-3300,1479103220073400,3916,130,0
E2003065410401890880BFA7,1,1,-3300,1479103220074958,3524,117,0
E2003065410401890950BA22,1,1,-3650,1479103220099132,3252,156,0
E2003065410401890880BFA7,1,1,-3300,1479103220101558,3532,52,0
E2003065410401890960B776,1,1,-4200,1479103220102709,212,416,0
E2003065410401890730CE0D,1,1,-3250,1479103220106253,3912,156,0
E2003065410401890810C647,1,1,-3100,1479103220107346,3772,104,0
E2003065410401890960B776,1,1,-4250,1479103220138720,212,416,0
E2003065410401890810C647,1,1,-3050,1479103220142546,3780,78,0
E2003065410401890730CE0D,1,1,-3300,1479103220143642,3920,78,0
E2003065410401890880BFA7,1,1,-3450,1479103220163646,3548,3,0
E2003065410401890950BA22,1,1,-3850,1479103220176914,3272,1,0
E2003065410401890730CE0D,1,1,-3300,1479103220189786,3924,78,0
E2003065410401890810C647,1,1,-3100,1479103220191975,3784,78,0
E2003065410401890880BFA7,1,1,-3300,1479103220193662,3528,78,0
E2003065410401890950BA22,1,1,-3600,1479103220195242,3256,78,0
E2003065410401890960B776,1,1,-4250,1479103220196464,208,338,0
E2003065410401890950BA22,1,1,-3600,1479103220227041,3256,52,0
E2003065410401890730CE0D,1,1,-3300,1479103220229105,3920,130,0
E2003065410401890880BFA7,1,1,-3300,1479103220232628,3536,26,0
E2003065410401890810C647,1,1,-3050,1479103220234165,3776,156,0
E2003065410401890960B776,1,1,-4250,1479103220236343,208,390,0
