EPC,Antenna,Channel,TimeStamp/us,RSSI/dBm,Phase/rad,Doppler Shift/Hz,Velocity
E2003065410401880350EEDA,1,1,0,-56.5,5.25541817929621,78,0
E2003065410401880350EEDA,1,1,27763,-55,5.20939875565964,78,0
E2003065410401880350EEDA,1,1,63423,-55,5.28916575662969,299,0
E2003065410401880350EEDA,1,1,90503,-55,5.25235021772044,208,0
E2003065410401880350EEDA,1,1,122084,-55,5.20939875565964,130,0
E2003065410401880350EEDA,1,1,149715,-55,5.22780652511427,182,0
E2003065410401880350EEDA,1,1,184563,-55,5.24621429456889,403,0
E2003065410401880350EEDA,1,1,212468,-55,5.25848614087198,351,0
E2003065410401880350EEDA,1,1,243565,-55,5.24007837141735,442,0
E2003065410401880350EEDA,1,1,274621,-55,5.27075798717506,468,0
E2003065410401880350EEDA,1,1,308136,-55,5.26462206402352,377,0
E2003065410401880350EEDA,1,1,335418,-55,5.24007837141735,273,0
E2003065410401880350EEDA,1,1,367682,-54.5,5.24007837141735,377,0
E2003065410401880350EEDA,1,1,395872,-55.5,5.25848614087198,364,0
E2003065410401880350EEDA,1,1,430041,-55,5.21553467881118,221,0
E2003065410401880350EEDA,1,1,458067,-55,5.27075798717506,455,0
E2003065410401880350EEDA,1,1,490576,-55,5.27689391032661,299,0
E2003065410401880350EEDA,1,1,518381,-55,5.27689391032661,351,0
E2003065410401880350EEDA,1,1,552793,-55,5.22167060196272,208,0
E2003065410401880350EEDA,1,1,577978,-55,5.28916575662969,507,0
E2003065410401880350EEDA,1,1,611534,-55,5.24007837141735,143,0
E2003065410401880350EEDA,1,1,636001,-55,5.19712690935655,78,0
E2003065410401880350EEDA,1,1,674319,-55,5.23394244826581,182,0
E2003065410401880350EEDA,1,1,700637,-55,5.21553467881118,104,0
E2003065410401880350EEDA,1,1,736215,-55,5.2032628325081,182,0
E2003065410401880350EEDA,1,1,760248,-55,5.24007837141735,299,0
E2003065410401880350EEDA,1,1,792200,-55,5.20939875565964,117,0
E2003065410401880350EEDA,1,1,821958,-55,5.19099098620501,0,0
E2003065410401880350EEDA,1,1,857236,-55.5,5.22167060196272,169,0
E2003065410401880350EEDA,1,1,885050,-54.5,5.24007837141735,247,0
E2003065410401880350EEDA,1,1,918116,-55.5,5.19712690935655,26,0
E2003065410401880350EEDA,1,1,941294,-55,5.19712690935655,104,0
E2003065410401880350EEDA,1,1,979399,-55.5,5.27689391032661,429,0
E2003065410401880350EEDA,1,1,1003853,-55,5.29530167978123,507,0
E2003065410401880350EEDA,1,1,1039948,-55,5.22167060196272,208,0
E2003065410401880350EEDA,1,1,1064111,-55,5.24621429456889,273,0
E2003065410401880350EEDA,1,1,1099711,-55,5.24621429456889,78,0
E2003065410401880350EEDA,1,1,1125905,-55,5.22780652511427,208,0
E2003065410401880350EEDA,1,1,1162502,-55,5.25848614087198,429,0
E2003065410401880350EEDA,1,1,1190308,-55,5.21553467881118,156,0
E2003065410401880350EEDA,1,1,1224683,-55,5.23394244826581,208,0
E2003065410401880350EEDA,1,1,1251231,-54.5,5.21553467881118,299,0
E2003065410401880350EEDA,1,1,1283216,-55,5.2032628325081,156,0
E2003065410401880350EEDA,1,1,1308408,-55,5.24007837141735,442,0
E2003065410401880350EEDA,1,1,1344034,-55,5.23394244826581,247,0
E2003065410401880350EEDA,1,1,1369496,-55.5,5.22780652511427,247,0
E2003065410401880350EEDA,1,1,1407194,-55,5.24621429456889,351,0
E2003065410401880350EEDA,1,1,1432164,-55,5.22167060196272,143,0
E2003065410401880350EEDA,1,1,1465475,-55,5.2032628325081,130,0
E2003065410401880350EEDA,1,1,1494961,-55,5.21553467881118,182,0
E2003065410401880350EEDA,1,1,1529555,-55,5.22780652511427,273,0
E2003065410401880350EEDA,1,1,1555918,-55,5.21553467881118,156,0
E2003065410401880350EEDA,1,1,1589965,-55,5.25235021772044,182,0
E2003065410401880350EEDA,1,1,1618271,-55,5.22780652511427,247,0
E2003065410401880350EEDA,1,1,1648149,-55.5,5.23394244826581,208,0
E2003065410401880350EEDA,1,1,1676296,-55,5.20939875565964,78,0
E2003065410401880350EEDA,1,1,1713362,-55,5.19712690935655,52,0
E2003065410401880350EEDA,1,1,1739977,-55,5.16644729359884,-52,0
E2003065410401880350EEDA,1,1,1775118,-55,5.17871913990192,26,0
E2003065410401880350EEDA,1,1,1800153,-55.5,5.25235021772044,338,0
E2003065410401880350EEDA,1,1,1833469,-55,5.22167060196272,182,0
E2003065410401880350EEDA,1,1,1861514,-55.5,5.18485506305347,78,0
E2003065410401880350EEDA,1,1,1901966,-55,5.25848614087198,429,0
E2003065410401880350EEDA,1,1,1927606,-55,5.18485506305347,26,0
E2003065410401880350EEDA,1,1,1963505,-55.5,5.2032628325081,117,0
E2003065410401880350EEDA,1,1,1988179,-55,5.24621429456889,299,0
E2003065410401880350EEDA,1,1,2025126,-55,5.24007837141735,104,0
E2003065410401880350EEDA,1,1,2051795,-55,5.22167060196272,208,0
E2003065410401880350EEDA,1,1,2084153,-55,5.19712690935655,26,0
E2003065410401880350EEDA,1,1,2109413,-55,5.25235021772044,273,0
E2003065410401880350EEDA,1,1,2145644,-55,5.20939875565964,156,0
E2003065410401880350EEDA,1,1,2172342,-55.5,5.18485506305347,0,0
E2003065410401880350EEDA,1,1,2206947,-55.5,5.2032628325081,0,0
E2003065410401880350EEDA,1,1,2232683,-55,5.24621429456889,221,0
E2003065410401880350EEDA,1,1,2269974,-55.5,5.19712690935655,0,0
E2003065410401880350EEDA,1,1,2295346,-55,5.26462206402352,325,0
E2003065410401880350EEDA,1,1,2326855,-55,5.19099098620501,104,0
