EPC,Antenna,Channel,TimeStamp/us,RSSI/dBm,Phase/rad,Doppler Shift/Hz,Velocity
E2003065410401880350EEDA,1,1,0,-59.5,2.23654398873726,58,0
E2003065410401880350EEDA,1,1,29309,-58,5.25235021772044,-325,0
E2003065410401880350EEDA,1,1,62501,-58,5.29530167978123,-130,0
E2003065410401880350EEDA,1,1,92855,-58,5.34438906499357,156,0
E2003065410401880350EEDA,1,1,126027,-58,5.24621429456889,-338,0
E2003065410401880350EEDA,1,1,153927,-58.5,5.23394244826581,26,0
E2003065410401880350EEDA,1,1,190053,-58,5.25235021772044,-299,0
E2003065410401880350EEDA,1,1,215809,-58,5.27689391032661,-104,0
E2003065410401880350EEDA,1,1,252573,-58,5.32598129553895,26,0
E2003065410401880350EEDA,1,1,277507,-58.5,5.3198453723874,273,0
E2003065410401880350EEDA,1,1,313006,-58,5.32598129553895,52,0
E2003065410401880350EEDA,1,1,342028,-58.5,5.27075798717506,-247,0
E2003065410401880350EEDA,1,1,375121,-58,5.25235021772044,-403,0
E2003065410401880350EEDA,1,1,402239,-58.5,5.33211721869049,78,0
E2003065410401880350EEDA,1,1,436610,-58.5,5.30143760293278,-26,0
E2003065410401880350EEDA,1,1,465481,-58,5.24007837141735,-247,0
E2003065410401880350EEDA,1,1,503805,-58,5.25848614087198,-351,0
E2003065410401880350EEDA,1,1,530110,-58,5.30143760293278,-221,0
E2003065410401880350EEDA,1,1,562730,-58,5.28302983347815,-130,0
E2003065410401880350EEDA,1,1,593223,-58,5.25848614087198,-273,0
E2003065410401880350EEDA,1,1,629775,-58.5,5.1603113704473,-533,0
E2003065410401880350EEDA,1,1,656774,-58.5,5.3198453723874,221,0
E2003065410401880350EEDA,1,1,689515,-58,5.28302983347815,104,0
E2003065410401880350EEDA,1,1,718532,-58,5.08054436947724,-807,0
E2003065410401880350EEDA,1,1,753023,-58.5,5.22780652511427,-208,0
E2003065410401880350EEDA,1,1,780994,-58,5.24007837141735,-156,0
E2003065410401880350EEDA,1,1,816179,-58,5.22780652511427,-52,0
E2003065410401880350EEDA,1,1,844238,-58.5,5.22167060196272,-442,0
E2003065410401880350EEDA,1,1,876576,-58,5.24621429456889,-130,0
E2003065410401880350EEDA,1,1,906962,-58,5.30757352608432,130,0
E2003065410401880350EEDA,1,1,943293,-58.5,5.33825314184203,104,0
E2003065410401880350EEDA,1,1,967789,-58.5,5.22167060196272,-403,0
E2003065410401880350EEDA,1,1,1005947,-58,5.25235021772044,-221,0
E2003065410401880350EEDA,1,1,1031694,-58,5.25235021772044,-104,0
E2003065410401880350EEDA,1,1,1068494,-58.5,5.31370944923586,52,0
E2003065410401880350EEDA,1,1,1093932,-58.5,5.25848614087198,-78,0
E2003065410401880350EEDA,1,1,1132049,-58,5.28916575662969,-104,0
E2003065410401880350EEDA,1,1,1158504,-58.5,5.25235021772044,-156,0
E2003065410401880350EEDA,1,1,1194372,-58.5,5.24621429456889,-338,0
E2003065410401880350EEDA,1,1,1219997,-58.5,5.27689391032661,-104,0
E2003065410401880350EEDA,1,1,1256112,-58,5.33211721869049,52,0
E2003065410401880350EEDA,1,1,1282668,-58.5,5.24007837141735,-156,0
E2003065410401880350EEDA,1,1,1318948,-58.5,5.29530167978123,52,0
E2003065410401880350EEDA,1,1,1345920,-58,5.32598129553895,221,0
E2003065410401880350EEDA,1,1,1378546,-58.5,5.27689391032661,-247,0
E2003065410401880350EEDA,1,1,1409124,-58.5,5.18485506305347,-442,0
E2003065410401880350EEDA,1,1,1442669,-58,5.30143760293278,130,0
E2003065410401880350EEDA,1,1,1470787,-58,5.27075798717506,52,0
E2003065410401880350EEDA,1,1,1503771,-58,5.20939875565964,-481,0
E2003065410401880350EEDA,1,1,1531206,-58,5.28916575662969,-52,0
E2003065410401880350EEDA,1,1,1565934,-58,5.28916575662969,-104,0
E2003065410401880350EEDA,1,1,1597842,-58,5.25848614087198,-182,0
E2003065410401880350EEDA,1,1,1637561,-58.5,5.33211721869049,182,0
E2003065410401880350EEDA,1,1,1664570,-58.5,5.30143760293278,-26,0
E2003065410401880350EEDA,1,1,1700981,-58,5.36893275759974,325,0
E2003065410401880350EEDA,1,1,1728051,-58.5,5.30757352608432,130,0
E2003065410401880350EEDA,1,1,1760012,-58,5.3198453723874,-52,0
E2003065410401880350EEDA,1,1,1789927,-58,5.35666091129666,429,0
E2003065410401880350EEDA,1,1,1821429,-58.5,5.31370944923586,221,0
E2003065410401880350EEDA,1,1,1850135,-58,5.27689391032661,0,0
E2003065410401880350EEDA,1,1,1887010,-58.5,5.28302983347815,143,0
E2003065410401880350EEDA,1,1,1920608,-58,5.27689391032661,-78,0
E2003065410401880350EEDA,1,1,1955412,-58.5,5.35666091129666,455,0
E2003065410401880350EEDA,1,1,1980708,-58,5.26462206402352,-52,0
E2003065410401880350EEDA,1,1,2017419,-58,5.33825314184203,156,0
E2003065410401880350EEDA,1,1,2044534,-58,5.35666091129666,273,0
E2003065410401880350EEDA,1,1,2081593,-58.5,5.37506868075129,299,0
E2003065410401880350EEDA,1,1,2108128,-58,5.3627968344482,156,0
E2003065410401880350EEDA,1,1,2141627,-58,5.41802014281208,182,0
E2003065410401880350EEDA,1,1,2170013,-58.5,5.36893275759974,130,0
E2003065410401880350EEDA,1,1,2207443,-58.5,5.41802014281208,221,0
E2003065410401880350EEDA,1,1,2233939,-58.5,5.41802014281208,104,0
E2003065410401880350EEDA,1,1,2266783,-58.5,5.41802014281208,221,0
E2003065410401880350EEDA,1,1,2297507,-58.5,5.35666091129666,-130,0
E2003065410401880350EEDA,1,1,2333091,-58.5,5.43029198911517,247,0
E2003065410401880350EEDA,1,1,2361478,-58.5,5.43642791226671,221,0
E2003065410401880350EEDA,1,1,2394960,-58,5.39961237335746,-52,0
E2003065410401880350EEDA,1,1,2423492,-58,5.47324345117597,351,0
E2003065410401880350EEDA,1,1,2456562,-58,5.47324345117597,377,0
E2003065410401880350EEDA,1,1,2484224,-58,5.4916512206306,299,0
E2003065410401880350EEDA,1,1,2519609,-58.5,5.46710752802443,104,0
E2003065410401880350EEDA,1,1,2547260,-58.5,5.50392306693368,247,0
E2003065410401880350EEDA,1,1,2583735,-58,5.48551529747905,247,0
E2003065410401880350EEDA,1,1,2611478,-58,5.44256383541826,-26,0
E2003065410401880350EEDA,1,1,2644289,-58,5.48551529747905,-130,0
E2003065410401880350EEDA,1,1,2669685,-58,5.48551529747905,0,0
E2003065410401880350EEDA,1,1,2708921,-58,5.54073860584294,130,0
E2003065410401880350EEDA,1,1,2732620,-58,5.56528229844911,182,0
E2003065410401880350EEDA,1,1,2767770,-58,5.55301045214602,0,0
E2003065410401880350EEDA,1,1,2796877,-57.5,5.55301045214602,104,0
E2003065410401880350EEDA,1,1,2832828,-58,5.52846675953985,-156,0
E2003065410401880350EEDA,1,1,2857964,-58,5.60209783735836,208,0
E2003065410401880350EEDA,1,1,2894733,-58,5.58369006790373,-26,0
E2003065410401880350EEDA,1,1,2921531,-58,5.63891337626762,247,0
E2003065410401880350EEDA,1,1,2956472,-58,5.57141822160065,182,0
E2003065410401880350EEDA,1,1,2981728,-58,5.62664152996453,221,0
E2003065410401880350EEDA,1,1,3017371,-57.5,5.58982599105528,-130,0
E2003065410401880350EEDA,1,1,3045302,-57.5,5.6511852225707,208,0
E2003065410401880350EEDA,1,1,3078284,-57.5,5.62050560681299,-26,0
E2003065410401880350EEDA,1,1,3109130,-57.5,5.68800076147996,325,0
E2003065410401880350EEDA,1,1,3140731,-57.5,5.68186483832841,208,0
E2003065410401880350EEDA,1,1,3168466,-57.5,5.68800076147996,156,0
E2003065410401880350EEDA,1,1,3204786,-57.5,5.68186483832841,156,0
E2003065410401880350EEDA,1,1,3230031,-57.5,5.71868037723767,247,0
E2003065410401880350EEDA,1,1,3266928,-57,5.76163183929847,429,0
