EPC,Antenna,Channel,TimeStamp/us,RSSI/dBm,Phase/rad,Doppler Shift/Hz,Velocity
E2003065410401880350EEDA,1,1,0,-59,2.19359252667647,65,0
E2003065410401880350EEDA,1,1,23789,-57.5,5.23394244826581,-182,0
E2003065410401880350EEDA,1,1,67925,-57.5,5.3198453723874,52,0
E2003065410401880350EEDA,1,1,92180,-57.5,5.3198453723874,221,0
E2003065410401880350EEDA,1,1,128771,-57.5,5.25235021772044,-52,0
E2003065410401880350EEDA,1,1,156752,-57.5,5.30757352608432,156,0
E2003065410401880350EEDA,1,1,192707,-57.5,5.28916575662969,130,0
E2003065410401880350EEDA,1,1,218725,-57,5.28916575662969,208,0
E2003065410401880350EEDA,1,1,252078,-57.5,5.33211721869049,403,0
E2003065410401880350EEDA,1,1,278599,-57.5,5.27689391032661,156,0
E2003065410401880350EEDA,1,1,316852,-57.5,5.25235021772044,-26,0
E2003065410401880350EEDA,1,1,340898,-58,5.25848614087198,195,0
E2003065410401880350EEDA,1,1,379435,-57.5,5.28302983347815,208,0
E2003065410401880350EEDA,1,1,403946,-57.5,5.3198453723874,130,0
E2003065410401880350EEDA,1,1,441773,-57.5,5.26462206402352,26,0
E2003065410401880350EEDA,1,1,468155,-57.5,5.23394244826581,-78,0
E2003065410401880350EEDA,1,1,498891,-57.5,5.28916575662969,130,0
E2003065410401880350EEDA,1,1,525677,-57.5,5.30757352608432,221,0
E2003065410401880350EEDA,1,1,563949,-57.5,5.29530167978123,208,0
E2003065410401880350EEDA,1,1,591818,-57.5,5.28302983347815,130,0
E2003065410401880350EEDA,1,1,624092,-57.5,5.26462206402352,0,0
E2003065410401880350EEDA,1,1,650486,-58,5.28916575662969,195,0
E2003065410401880350EEDA,1,1,687050,-57.5,5.21553467881118,-221,0
E2003065410401880350EEDA,1,1,714880,-58,5.3198453723874,364,0
E2003065410401880350EEDA,1,1,747970,-58,5.31370944923586,299,0
E2003065410401880350EEDA,1,1,776068,-57.5,5.26462206402352,-52,0
E2003065410401880350EEDA,1,1,811821,-57.5,5.27075798717506,-26,0
E2003065410401880350EEDA,1,1,836018,-57.5,5.23394244826581,-130,0
E2003065410401880350EEDA,1,1,870693,-57.5,5.21553467881118,-52,0
E2003065410401880350EEDA,1,1,900548,-57.5,5.24621429456889,104,0
E2003065410401880350EEDA,1,1,933672,-57.5,5.26462206402352,-26,0
E2003065410401880350EEDA,1,1,963149,-57.5,5.3198453723874,247,0
E2003065410401880350EEDA,1,1,999293,-57.5,5.24007837141735,-52,0
E2003065410401880350EEDA,1,1,1024517,-58,5.31370944923586,195,0
E2003065410401880350EEDA,1,1,1059134,-57.5,5.21553467881118,-130,0
E2003065410401880350EEDA,1,1,1087775,-58,5.25235021772044,26,0
E2003065410401880350EEDA,1,1,1121889,-58,5.28916575662969,299,0
E2003065410401880350EEDA,1,1,1148284,-57.5,5.3198453723874,351,0
E2003065410401880350EEDA,1,1,1183541,-57,5.28302983347815,182,0
E2003065410401880350EEDA,1,1,1207642,-57.5,5.29530167978123,325,0
E2003065410401880350EEDA,1,1,1241848,-58,5.30757352608432,117,0
