EPC,Antenna,Channel,TimeStamp/us,RSSI/dBm,Phase/rad,Doppler Shift/Hz,Velocity
3039606203CD97400009F288,1,1,0,-56,1.21491278400543,117,0
000000000000000000000021,1,1,1060,-60.5,4.33196174498905,52,0
000000000000000000000009,1,1,4610,-58,2.52186441528399,559,0
000000000000000000000004,1,1,8090,-57,2.3500585670408,130,0
000000000000000000000009,1,1,30924,-58,2.53413626158708,533,0
3039606203CD97400009F288,1,1,33129,-56.5,1.22718463030851,195,0
000000000000000000000021,1,1,36653,-60.5,4.30128212923134,-26,0
000000000000000000000004,1,1,37764,-57,2.38687410595006,273,0
000000000000000000000004,1,1,67823,-57,2.35619449019234,156,0
000000000000000000000009,1,1,70239,-58,2.49732072267782,351,0
000000000000000000000021,1,1,73505,-60.5,4.33196174498905,52,0
3039606203CD97400009F288,1,1,75471,-56,1.23332055346006,91,0
000000000000000000000004,1,1,100975,-57.5,2.39914595225314,364,0
3039606203CD97400009F288,1,1,102726,-56.5,1.20264093770234,117,0
000000000000000000000021,1,1,104941,-60,4.31968989868597,78,0
000000000000000000000009,1,1,106054,-58,2.52186441528399,429,0
000000000000000000000009,1,1,135926,-58,2.53413626158708,559,0
000000000000000000000004,1,1,137038,-57.5,2.36233041334389,247,0
000000000000000000000021,1,1,141272,-60,4.35036951444368,117,0
3039606203CD97400009F288,1,1,143251,-56.5,1.19036909139926,117,0
000000000000000000000004,1,1,166274,-57.5,2.33778672073772,104,0
000000000000000000000021,1,1,169442,-60,4.2951462060798,52,0
3039606203CD97400009F288,1,1,172468,-58,1.1965050145508,299,0
000000000000000000000009,1,1,173566,-58,2.54027218473862,533,0
000000000000000000000004,1,1,205219,-57.5,2.40528187540469,494,0
000000000000000000000009,1,1,206515,-58,2.52800033843554,507,0
3039606203CD97400009F288,1,1,209008,-56,1.17809724509617,169,0
000000000000000000000021,1,1,212093,-60,4.27673843662517,-195,0
3039606203CD97400009F288,1,1,235406,-56,1.2394564766116,117,0
000000000000000000000009,1,1,239566,-58,2.46664110692011,104,0
000000000000000000000004,1,1,240705,-57,2.37460225964697,182,0
000000000000000000000021,1,1,242433,-60,4.30741805238288,0,0
000000000000000000000004,1,1,273721,-57,2.39914595225314,351,0
000000000000000000000009,1,1,275945,-58,2.5954954931025,807,0
3039606203CD97400009F288,1,1,277895,-56,1.25172832291468,143,0
000000000000000000000021,1,1,280127,-60,4.30128212923134,-143,0
